Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Introduction to Logic and Critical Thinking Specialization	4.6	Beginner level	Flexible schedule	Understand and appreciate arguments that you and other people present. Determine whether or not an argument is deductively valid. Analyze and assess five common forms of inductive arguments. Recognize fallacies.	logic, Critical Thinking, Business Communication, Communication, analysis, reason	Think Again I: How to Understand Arguments, Think Again II: How to Reason Deductively, Think Again III: How to Reason Inductively, Think Again IV: How to Avoid Fallacies	Dr. Walter  Sinnott-Armstrong, Dr. Ram  Neta	Duke University	Arts and Humanities	https://www.coursera.org/specializations/logic-critical-thinking-duke	80.0	Languages & Literature	556.0
Finding Your Professional Voice: Confidence & Impact	4.7	Beginner level	Flexible schedule	Learners will use the embodied voice to engage and connect with an audience is a vital element in dynamic verbal exchange.  	Speak with greater clarity. Identify current vocal behaviours connected to speaking and have techniques to address them. Speak with confidence and connection. How to convey meaning and make messages compelling.	Be Aware: Understanding yourself and understanding how the voice works. Be Physical: the role of the body in speaking. Be Connected: understanding your audience and how to connect  to them. Be Impactful: Using emphasis for impact.	Emmy Broomfield	University of London	Arts and Humanities	https://www.coursera.org/learn/finding-your-professional-voice	9.0	Soft Skills	310.0
Teaching with Art: Using Inquiry, Activities, and Themes Specialization	4.9	Intermediate level	Flexible schedule	Learn the ways inquiry, activities, and accessible themes can support students’ creative thinking.Explore how to enhance students’ ability to make connections between classroom content and their prior knowledge and experiences. 	Develop open-ended inquiry-based lessons, Develop inquiry-based lessons using open-ended questions, Create engaging multimodal activities to encourage active learning, Build lessons around themes, Cultivate collective meaning making using Social Emotional Learning strategies	Art & Inquiry: Museum Teaching Strategies For Your Classroom, Art & Activity: Interactive Strategies for Engaging with Art, Art & Ideas: Teaching with Themes	Francis Estrada, Lisa Mazzola, Larissa Raphael	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/specializations/teaching-with-art	40.0	Art & Humanities,Education	36.0
Write A Feature Length Screenplay For Film Or Television	4.6	Beginner level	Flexible schedule	You will learn how to write and complete a full-length, feature film screenplay. You will have a finished script in hand at the end of the course.	Creative Writing, Filmmaking, Script Writing, Film and Televison Writing, Screenwriting	Week One - Creating The Idea, Week Two: Logline and Dramatic Question, Week Three Create your character profile(s), Week Four: The Three Act Story Arc, Week Five: Screenplay Formatting and Software, Week Six: Begin your screenplay, Week Seven: The middle section of Act One, Week Eight: Write the final section of Act One, Week Nine: Table read Act One, Week Ten: Begin Act Two, Week Eleven: Write pages 41-50, Week Twelve: Write pages 51-60, Week Thirteen: Write pages 61-70, Week Fourteen: Write pages 71-80, Week Fifteen: Table read Acts One and Two, Week Sixteen: Write pages 81-90, Week Seventeen: Write pages 91-100, Week Eighteen: Finish Act Three, Week Nineteen: Table read your entire script, Week Twenty: Finishing things up.	David Wheeler	Michigan State University	Arts and Humanities	https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television	93.0	Film,Art & Humanities	196.0
Graphic Design Elements for Non-Designers Specialization	4.7	Beginner level	Flexible schedule	Appreciate the study of design layout and conceptual elements concerning design projects. Analyze basic design concepts to apply in the professional setting, including typography, color theory, image selection, and layout best practices. Design foundational creative projects, including business card, brochures, ads, websites and manuals. Discover techniques for working and communicating with graphic designers and other creative professionals.	Print Design, textual elements and manipulation, online design, Color Theory, Graphic Design	Basic Elements of Design: Design Principles and Software Overview, Graphic Elements of Design: Color Theory and Image Formats, Textual Elements of Design: Fonts, Typography, and Spacing, Print and Digital Elements of Design: Branding and User Experience	Lori Poole	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/specializations/graphic-design-elements-non-designers	40.0	Design	1030.0
Write Your First Novel	4.3	Beginner level	Flexible schedule	You will learn how to write and complete a full-length novel of 50,000 words. You will have a finished manuscript in hand at the end of the course.	Creative Writing, Story Telling, Novel Writing	Week One: Creating the idea for your novel, Week Two: Create your character profiles and outline Chapter One, Week Three: Write Chapter One, Week Four: Write Chapter Two, Week Five: Write Chapter Three, Week Six: Write Chapter Four, Week Seven: Write Chapter Five, Week Eight: Write Chapter Six, Week Nine: Write Chapter Seven, Week Ten: Table Read Chapters One to Seven, Week Eleven: Write Chapter Eight, Week Twelve: Write Chapter Nine, Week Thirteen: Write Chapter Ten, Week Fourteen: Write Chapter Eleven, Week Fifteen: Write Chapter Twelve, Week Sixteen: Write Chapter Thirteen, Week Seventeen: Write Chapter Fourteen, Week Eighteen: Table Read Chapters Eight to Fourteen, Week Nineteen: Write Chapter Fifteen, Week Twenty: Write Chapter Sixteen, Week Twenty-One: Write Chapter Seventeen, Week Twenty-Two: Write Chapter Eighteen, Week Twenty-Three: Write Chapter Nineteen, Week Twenty-Four: Write Chapter Twenty, Week Twenty-Five: Table Read Chapters Fifteen to Twenty, Week Twenty-Six: Submit Your Finished Novel	David Wheeler	Michigan State University	Arts and Humanities	https://www.coursera.org/learn/write-your-first-novel	127.0	Languages & Literature	297.0
Introduction to Typography	4.8	Beginner level	Flexible schedule	Review the terminology and measuring system used to describe type. Explore how typefaces tell stories and understand the historic evolution. Conduct a peer-reviewed typesetting exercise. Design of a full-scale typographic poster.	Adobe Illustrator, Adobe Indesign, History, Creativity, Graphics	Week 1: Talking Type, Week 2: Typefaces and their Stories, Week 3: Putting Type to Work, Week 4: Making Meaningful Type	Anther Kiley	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/typography	8.0	Design	5538.0
Developing Your Musicianship Specialization	4.9	Beginner level	Flexible schedule	Aurally identify musical intervals, chords, and chord progressionsWrite and practice major and minor scales in a variety of keys. Compose a 12-bar blues with a melody. Define and discuss harmonic function and modal interchange.	Music, Chord, Jazz, Scales, Music theory	Developing Your Musicianship, Musicianship: Chord Charts, Diatonic Chords, and Minor Keys, Musicianship: Tensions, Harmonic Function, and Modal Interchange, Developing Your Musicianship: Final Project	George W. Russell, Jr.	Berklee	Arts and Humanities	https://www.coursera.org/specializations/musicianship-specialization	40.0	Music	1232.0
The Art of Music Production	4.8	Intermediate level	Flexible schedule	Discuss why one musical recording is more compelling than another and identify the unique elements of the recording that contribute to it. Begin to assess and establish your identity, vision, and intention as an artist and producer. Write and develop a compelling piece of music by utilizing various tools. Establish the sonic signature of your production by utilizing specific production techniques.	Music, Songwriting, Music production, Audio Production, Music recording	Welcome to The Art of Music Production, Listening Like A Producer, Identity, Vision, and Intention, Strengthening Musical Productions: Tools & Strategies, Defining the Sonic Signature of your Song	Stephen Webber	Berklee	Arts and Humanities	https://www.coursera.org/learn/producing-music	13.0	Music,Art & Humanities	1976.0
Feminism and Social Justice	4.8	Beginner level	Flexible schedule	Explain the working definition of feminism. Compose a personal definition of feminism. Discuss the role of protest in feminism and social justice.	Not specified	What is feminism?, Salt of the Earth, Free Angela!, The #metoo Movement, Additional Materials (Optional)	Bettina Aptheker	University of California, Santa Cruz	Arts and Humanities	https://www.coursera.org/learn/feminism-social-justice	8.0	History & Religion,Art & Humanities	5966.0
Songwriting: Writing the Lyrics	4.8	Beginner level	Flexible schedule	"Define and identify the point of view, form, and the ""who, what, where, when, and how"" in a songIdentify whether a lyric is stable or unstable through the use of line lengths, number of lines, stressed and unstressed syllables, and melody. Utilize the various rhyming techniques to evoke specific emotions in a song and define the difference between Assonance and Consonance rhyme. Use phrasing to clarify your ideas."	Music, Songwriting, Music recording, Poetry	Welcome to Songwriting: Writing the Lyrics, The Journey of the Song, Stopping and Going, Sonic GPS—Mapping Your Song with Rhyme, Making It Move	Pat Pattison	Berklee	Arts and Humanities	https://www.coursera.org/learn/songwriting-lyrics	15.0	Music	845.0
Introduction to Imagemaking	4.5	Beginner level	Flexible schedule	Make informed design choices using image-based research. Create ranges of representation using images. Compose spreads for your own book. Design a book with your own images.	Adobe Indesign, Art, Creativity, Graphics	Week 1: Image-based Research, Week 2: Making Images, Week 3: Composition is Relational, Week 4: Designing a Book with Your Images	Gail Swanlund	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/image-making	11.0	Design	2804.0
The Technology of Music Production	4.8	Beginner level	Flexible schedule	Discuss the nature of sound, how it travels, and its properties. Set up your Digital Audio Workstation, record audio, and utilize basic audio editing techniques such as trimming, fades, and merging. Define the different categories of effects: Dynamic Effects, Delay Effects, and Filter Effects and use them effectively in a recording project. Discuss the role filters play in music synthesis and define how they effect the input signal.	Audio Editing, Music, Sound Design, Audio Recording, Audio Production	Welcome to The Technology of Music Production, Sound and Signal Flow, The DAW, The Mixer, Dynamic Effects, Filter and Delay Effects, Synthesis	Loudon Stearns	Berklee	Arts and Humanities	https://www.coursera.org/learn/technology-of-music-production	17.0	Music	1021.0
Curanderismo: Traditional Healing Using Plants	4.7	Beginner level	Flexible schedule	Students will be able to provide Information on the history,  traditions, rituals, herbs, and remedies of Curanderismo. Students will be able to analyze curative remedies of plants of the Southwest for medicinal purposes. Students will be able to explain how to use plants in water-based microdosis, alcohol-based tinctures, juice therapy, oils, and smoke.	Not specified	Introduction to Curanderismo: The Art of Traditional Medicine, Interviews with Traditional Healers., Plants of the Southwest, Medicinal Plants for the Digestive System., Medicinal Plants for the Nervous System, Tinctures and Microdosis., Juice Therapy | Jugoterapia, Geotherapy, Healing with Herbal Oils, Herbal Smoke for Healing.	Mario Del Angel-Guevara, Eliseo (Cheo) Torres	University of New Mexico	Arts and Humanities	https://www.coursera.org/learn/curanderismo-plants	14.0	Medical,Health	211.0
Ideas from the History of Graphic Design	4.7	Beginner level	Flexible schedule	Learn about the history of graphic designUnderstand the emergence of design as a recognized practice. Learn about graphic design radicalism in late 1950s to early 1970s. Make informed design choices.	Art History, History, Graphic Arts, Graphic Design	Early Mass Marketing, The Bauhaus, Modernism in America , Graphic Design Radicalism	Lorraine Wild, Louise Sandhaus	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/graphic-design-history	10.0	Art & Humanities,Design	2429.0
The Language of Design: Form and Meaning	4.6	Beginner level	Flexible schedule	Recall and explain a lexicon of key terms relating to form, meaning, and audience, and apply them successfully within an appraisal of graphic design. Establish and articulate criteria for successful outcomes in a design project that are not limited by personal taste. Employ various ways of talking about visual form, meaning, and context for a given work of design in an objective way. Develop an ability to engage with a work of design in an objective way. 	Visual Communication, Graphic Design	Week 1: Course Orientation and Overview, Week 1: Audience/Context/Culture, Week 2: Basics of Form, Week 3: Meaning and Concept, Week 4: Synthesis: Critique and Effective Design	Randy Nakamura, Yasmin Khan Gibson	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/design-language	8.0	Design	763.0
Piano Techniques for Modern Music	0.0	Beginner level	Flexible schedule	Develop proper technique to play the piano. Maintain healthy playing habits. Apply proper piano technique while playing modern/contemporary music.	Improvisation, Finger Independence, Piano Performance, Chord Progressions, Piano	Welcome to Piano Techniques for Modern Music, Lesson 1: Fundamentals of Posture and Hand Position, Lesson 2: Finger and Arm Technique, Lesson 3: Wrist Technique and Chord Tones, Lesson 4: Pedal Technique	Zahili Gonzalez Zamora	Berklee	Arts and Humanities	https://www.coursera.org/learn/piano-techniques-for-modern-music	11.0	Music	0.0
Russian History: from Lenin to Putin	4.7	Beginner level	Flexible schedule	Explain the origins and development of the Russian state and people. Apply theories of politics and society to Russian History. Evaluate the impact of a series of Soviet and Russian leaders on the word.	Not specified	The 9th Century to the 1920s, The Great Patriotic War: Before and After, Reform, Stagnation, Collapse, Rebirth?	Peter Kenez	University of California, Santa Cruz	Arts and Humanities	https://www.coursera.org/learn/russian-history-lenin-putin	11.0	History & Religion	752.0
Music Business Foundations	4.9	Not specified	Flexible schedule	Analyze recording contract provisions. Assess the various rights that make up the copyright bundle of rights. Discuss the roles of the personal manager, business manager, road manager, agents, road crew, and attorneys. Examine the importance of having written agreements that outline the duties and obligations of various parties.	Copyright, Music business, Revenue streams, Teambuilding, Contracts	The Music Industry, Recording Agreements, Copyright Basics, Managers, Agents, and Attorneys	John P. Kellogg, Esq.	Berklee	Arts and Humanities	https://www.coursera.org/learn/music-business-foundations	11.0	Music,Ethics & Law,Business	2547.0
Seeing Through Photographs	4.8	Beginner level	Flexible schedule	Understand artists’ processes and the choices that inform a photograph’s making, including experimentation and responses to technological innovation. Learn how context influences the production, circulation, and reception of photographic images. Understand the relationship between a photograph’s subject and meaning, and the differences between photographs as objects and photographic images. Gain confidence in looking at and talking about photography, and find inspiration from photographs all around you.	Art History, Art, History, Photography, Museums	Introduction to Seeing Through Photographs, One Subject, Many Perspectives, Documents and the Documentary, One and Another, Constructing Narratives, Challenging Histories, Pictures of People, Ocean of Images	Lucy Gallun, Sarah Meister	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/learn/photography	17.0	Art & Humanities	4288.0
American History Through Baseball Specialization	4.1	Beginner level	Flexible schedule	Gain a broad sense of historical change, politics, economy, society and culture, and persistent and recurring challenges. Discover some examples of how those changes played out in American history — the people and places involved and their impact. Develop your ability to think historically — examine the past on its own terms, consider context and change, and analyze historical arguments.Apply historical skills to the contemporary world, grapple with questions that matter to you, and learn about baseball. 	Sports, Culture, America, Baseball, US History	Moneyball and Globalization, Race, Gender, and Culture, Baseball and Americanism, Baseball into the Millennium	Tom Zeiler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/specializations/american-history-through-baseball	40.0	Sociology	8.0
Introduction to Ableton Live	4.8	Not specified	Flexible schedule	Navigate Ableton Live. Program MIDI drums and instruments. Record and edit audio, including working with preexisting audio loops. Create a piece of music using MIDI and audio within Ableton Live.	MIDI programming, File Management, Audio Recording, Ableton, Music Making	Welcome to Introduction to Ableton Live, Getting Our Hands Dirty, Polishing the Sound, The Endless Possibilities	Erin Barra	Berklee	Arts and Humanities	https://www.coursera.org/learn/ableton-live	13.0	Music,Art & Humanities	1098.0
Old Norse Mythology in the Sources	4.6	Beginner level	Flexible schedule	Identify the differences in literary representation of Old Norse myths in medieval literature and the pre-Christian religion. Understand the processes underlying the codification of Old Norse mythology, and how the literature was interpreted in Christianity. Describe the key elements and features of Old Norse mythology and understand how Old Norse mythology came into existence as medieval literature.	Mythology, Poetry, Religion, Literature, Scandinavian History	Introduction, The Eddic Poems, Additional Sources, Final Assessment	Mathias Nordvig	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/old-norse-mythology-sources	6.0	History & Religion	264.0
Brand New Brand	4.9	Intermediate level	Flexible schedule	Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualization. Demonstrate visual research and development skills through the creation of a Brand Development Guide. Expand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images.	Adobe Photoshop, Adobe Indesign, Graphics, Color Theory	Course Overview, Ideation: Invent Your Client, Visualization: Make Your Fake, Logotype: Brand Your Brand, Palette: Expand Your Brand, Application: Apply Your Brand, Publication: Display Your Brand	Michael Worthington	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/brand-new-brand	24.0	Branding,Design	1190.0
Guitar for Beginners	4.8	Not specified	Flexible schedule	Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard maps. Practice picking, finger picking, and strumming patterns. Play various chords including major and minor triads, open, barre, and pose chordsRead and play a lead sheet.	Guitar, Guitar scales, Music notation, Tablature, Guitar chords	Welcome to Introduction to Guitar, Acoustic / Electric Guitar and the Basics, Getting Started: Fundamental Guitar Skills, The Twelve Half Steps and Basic Notation, Scales: Construction and Fingerings, Chords: Building Easy Triads and Power Chords, Putting it All Together: The Pentatonic Scale and Songs	Thaddeus Hogarth	Berklee	Arts and Humanities	https://www.coursera.org/learn/guitar	22.0	Music	2231.0
Libertarian Free Will Specialization	0.0	Beginner level	Flexible schedule	How arguments from philosophers and evidence from neuroscientists contribute to the conversation about free will. To deploy these ideas to challenge assumptions of determinism in discussion and debate. How the bridge between behavior and neurobiology, and the links between attention and consciousness build our understanding of our own free will.	Philosophy, Critical Thinking, Neuroscience	The Basics of Libertarian Free Will, Free Will and Neuroscience, Neural Basis of Imagination, Free Will, and Morality	Peter Tse	Dartmouth College	Arts and Humanities	https://www.coursera.org/specializations/libertarian-free-will	40.0	Social Science,Philosophy	0.0
AI, Empathy & Ethics	4.2	Beginner level	Flexible schedule	Compose a personal ethical framework for AI use. Explain how various types of AI programs work. Speculate about the role of AI in the future.	Not specified	Definitions and Discriminators, Learning, Perception and Empathy, AI and the Future	Kelvin Lwin	University of California, Santa Cruz	Arts and Humanities	https://www.coursera.org/learn/ai-empathy-ethics	4.0	Artificial Intelligence,Ethics & Law,Technology	45.0
Music for Wellness	4.6	Beginner level	Flexible schedule	The effects music has on the brain. Strategies and techniques for regulating emotions and stress by integrating music with ancient practices such as mantra and pranayama. The scientific underpinnings that support the efficacy of ancient traditional practices used to promote wellness. How and why music can help you to live a happier, healthier life.	Music Therapy, Meditation, Stress Management, breathing, Mental Health	Welcome to Music for Wellness!, Music For Creativity, Music For Comfort, Music for Awakening, Music For You	Annette Philip, Suzanne Hanser	Berklee	Arts and Humanities	https://www.coursera.org/learn/music-for-wellness	10.0	Music,Therapy	305.0
Developing Your Musicianship	4.8	Not specified	Flexible schedule	Construct, sing and play scales such as the major scale and the minor pentatonic scale. Aurally identify major 2nd, major 3rd, perfect 4th, perfect 5th, major 6th, and major 7th intervals. Construct and play triads and 7th chordsCompose a I-IV-V chord progression in the key of C Major and create a chord chart.	Aurally identify musical intervals, Aurally identify chords, Read lead sheets, Piano, Read music notation	Welcome to Developing Your Musicianship, The Major Scale, Major and Minor Triads, Minor Pentatonic Scale, Major and Dominant Seventh Chords, Song Form, Practicing What You Know and Moving Forward	George W. Russell, Jr.	Berklee	Arts and Humanities	https://www.coursera.org/learn/develop-your-musicianship	16.0	Music	1254.0
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious	4.7	Intermediate level	Flexible schedule	Gain an appreciation of the relation of methods of learning about oneself that do not depend on introspection. Become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions and the unconscious. Understand the role of affect in decision making, and self-deception. Be able to identify and analyse unconscious mechanisms motivating own and other people's actions.	Not specified	"Getting started, The Freudian Unconscious, ""Freuds legacy"", The Adaptive Unconscious, Rationality and Emotions, Final assessment"	Mitchell Green	The University of Edinburgh	Arts and Humanities	https://www.coursera.org/learn/know-thyself-the-unconscious	15.0	Philosophy,Psychology	727.0
Introduction to Korean Philosophy and Culture	4.8	Beginner level	Flexible schedule	Compare Korean philosophy with both Chinese philosophy as well as Western philosophy. Explore the field of Korean philosophy and its development through its continued innovation. Discuss the key ideas in Korean philosophical debates, such as the concepts of moral emotions and everyday feelings. Reflect the Korean philosophical traits reflected in Korean language.	Philosophy, History, Culture, Language, Korean philosophy	What is Korean philosophy?, How does Innovation occur at Cultural Boundaries?, What are the Core Debates of Korean Philosophy?, How do you think through Korean Philosophy?	SO JEONG PARK	Sungkyunkwan University	Arts and Humanities	https://www.coursera.org/learn/introduction-to-korean-philosophy-and-culture	11.0	Philosophy,International Relations,Asian Studies	179.0
